epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.6377,1.47772,1.61858,1.16842,0.85469,0.75069,0.83039,0.4827,1.42547,1.07884,1.1885,0.000553814,0.000553814,0.000553814
2,112.472,1.41997,1.071,1.15183,0.88295,0.79385,0.87374,0.52925,1.34993,0.84201,1.15493,0.00108751,0.00108751,0.00108751
3,165.325,1.40759,0.96221,1.15556,0.89167,0.75123,0.84142,0.49937,1.38371,0.91402,1.19587,0.00159921,0.00159921,0.00159921
4,218.073,1.3876,0.90975,1.14496,0.87007,0.81225,0.88063,0.53939,1.35437,0.82505,1.17857,0.00156798,0.00156798,0.00156798
5,271.559,1.37009,0.87115,1.14137,0.88221,0.81014,0.89791,0.56116,1.31133,0.77222,1.15586,0.00153497,0.00153497,0.00153497
6,330.433,1.34483,0.84377,1.13689,0.9071,0.83661,0.90875,0.56996,1.28487,0.72141,1.13371,0.00150197,0.00150197,0.00150197
7,386.156,1.34759,0.81871,1.12929,0.89317,0.83282,0.90538,0.5539,1.35167,0.76266,1.17115,0.00146896,0.00146896,0.00146896
8,442.754,1.32513,0.78607,1.11983,0.90603,0.82406,0.90152,0.55888,1.33958,0.71652,1.16133,0.00143595,0.00143595,0.00143595
9,498.536,1.31519,0.77615,1.11543,0.89221,0.85473,0.91115,0.58303,1.26666,0.70904,1.12573,0.00140295,0.00140295,0.00140295
10,554.103,1.30659,0.76422,1.11329,0.908,0.83062,0.91125,0.58544,1.27082,0.67697,1.12007,0.00136994,0.00136994,0.00136994
11,609.03,1.3033,0.75571,1.11077,0.91744,0.85133,0.92216,0.60296,1.23866,0.63595,1.11489,0.00133693,0.00133693,0.00133693
12,665.976,1.29358,0.73924,1.10871,0.90761,0.87341,0.92885,0.59776,1.24856,0.63467,1.11107,0.00130393,0.00130393,0.00130393
13,722.825,1.27695,0.7207,1.09887,0.91467,0.87431,0.93241,0.60554,1.23449,0.61496,1.11214,0.00127092,0.00127092,0.00127092
14,778.614,1.27879,0.72126,1.09854,0.91929,0.8845,0.93629,0.60502,1.24087,0.61259,1.11957,0.00123791,0.00123791,0.00123791
