epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,834.004,1.27613,0.71204,1.09631,0.91537,0.87915,0.93322,0.60784,1.22912,0.61107,1.10558,0.00120491,0.00120491,0.00120491
16,888.4,1.27077,0.69801,1.09776,0.89735,0.87916,0.92997,0.61035,1.22232,0.60724,1.10898,0.0011719,0.0011719,0.0011719
17,943.512,1.26474,0.70077,1.09293,0.91554,0.87959,0.93381,0.61404,1.22693,0.60206,1.10266,0.00113889,0.00113889,0.00113889
18,1007.87,1.26079,0.68977,1.08784,0.91294,0.89136,0.93849,0.62359,1.20843,0.5799,1.09879,0.00110589,0.00110589,0.00110589
19,1063.45,1.26043,0.68274,1.09508,0.92262,0.89194,0.94272,0.62364,1.20474,0.57788,1.09899,0.00107288,0.00107288,0.00107288
20,1131.49,1.23589,0.66718,1.07665,0.92199,0.88926,0.93808,0.62407,1.19666,0.57408,1.09334,0.00103987,0.00103987,0.00103987
21,1241.21,1.24894,0.67261,1.08358,0.92683,0.89801,0.94586,0.62855,1.20159,0.55516,1.09663,0.00100687,0.00100687,0.00100687
22,1347.3,1.22939,0.65484,1.07442,0.92213,0.89332,0.94411,0.63134,1.18753,0.55296,1.08859,0.000973861,0.000973861,0.000973861
23,1419.34,1.23827,0.66389,1.08011,0.92413,0.89464,0.944,0.63431,1.18108,0.55224,1.08361,0.000940855,0.000940855,0.000940855
24,1564.57,1.22201,0.64512,1.07291,0.92446,0.8903,0.9403,0.6347,1.1712,0.54717,1.07932,0.000907848,0.000907848,0.000907848
25,1702.12,1.22805,0.65229,1.07587,0.92367,0.90542,0.94749,0.63401,1.18015,0.54683,1.09061,0.000874842,0.000874842,0.000874842
26,1808.72,1.22384,0.64158,1.07744,0.93087,0.89625,0.95017,0.64115,1.16948,0.53354,1.0803,0.000841835,0.000841835,0.000841835
27,1894.2,1.21722,0.63324,1.07211,0.92958,0.89847,0.94994,0.63417,1.17819,0.54072,1.08185,0.000808828,0.000808828,0.000808828
28,1961.23,1.203,0.62486,1.06726,0.93131,0.90544,0.95283,0.64201,1.16927,0.52433,1.0789,0.000775822,0.000775822,0.000775822
29,2041.44,1.20946,0.62445,1.06949,0.93166,0.90196,0.95261,0.64578,1.16403,0.52143,1.07577,0.000742815,0.000742815,0.000742815
30,2123.04,1.20699,0.62458,1.06398,0.93706,0.90239,0.95373,0.64938,1.14963,0.51586,1.07151,0.000709809,0.000709809,0.000709809
31,2189.34,1.19119,0.60683,1.0629,0.93283,0.90566,0.95387,0.6478,1.14932,0.51746,1.06848,0.000676802,0.000676802,0.000676802
32,2281.93,1.19979,0.60808,1.06233,0.93168,0.90706,0.95444,0.64651,1.14759,0.5144,1.07178,0.000643795,0.000643795,0.000643795
33,2436.39,1.19517,0.61094,1.05858,0.93329,0.91121,0.95457,0.65456,1.137,0.50671,1.06279,0.000610789,0.000610789,0.000610789
34,2534.45,1.19272,0.60113,1.06254,0.93522,0.91622,0.9573,0.65553,1.13322,0.49603,1.06369,0.000577782,0.000577782,0.000577782
35,2626.59,1.17088,0.59063,1.05425,0.93387,0.91173,0.95609,0.65567,1.13579,0.49896,1.06403,0.000544776,0.000544776,0.000544776
36,2697.01,1.18341,0.59073,1.0532,0.93099,0.91317,0.95736,0.6574,1.13082,0.49498,1.06196,0.000511769,0.000511769,0.000511769
37,2783.62,1.17713,0.58631,1.05332,0.93971,0.91277,0.95681,0.66097,1.11623,0.48921,1.0569,0.000478762,0.000478762,0.000478762
38,2890.1,1.16999,0.58071,1.04855,0.93483,0.9194,0.95862,0.66093,1.12027,0.48895,1.05926,0.000445756,0.000445756,0.000445756
39,2959.95,1.16678,0.57862,1.04988,0.93625,0.92311,0.95935,0.66436,1.11717,0.47993,1.05949,0.000412749,0.000412749,0.000412749
40,3013.26,1.15621,0.57006,1.04498,0.94208,0.91917,0.96206,0.66494,1.11121,0.47819,1.05453,0.000379743,0.000379743,0.000379743
41,3095.64,1.15206,0.51374,1.05789,0.93778,0.92633,0.95988,0.66634,1.10642,0.47708,1.05221,0.000346736,0.000346736,0.000346736
42,3148.81,1.14694,0.50928,1.05435,0.94084,0.92382,0.96311,0.67102,1.09775,0.47025,1.05,0.000313729,0.000313729,0.000313729
43,3205.56,1.13847,0.50249,1.0503,0.94304,0.92196,0.96348,0.67232,1.09848,0.46827,1.0486,0.000280723,0.000280723,0.000280723
44,3259.1,1.13524,0.49559,1.05251,0.94401,0.92485,0.9643,0.66969,1.09457,0.466,1.04677,0.000247716,0.000247716,0.000247716
45,3312.42,1.12589,0.48981,1.05068,0.94194,0.92461,0.96325,0.67582,1.08576,0.46062,1.0439,0.00021471,0.00021471,0.00021471
46,3364.98,1.12181,0.48754,1.04327,0.94504,0.92493,0.96434,0.67698,1.07966,0.45666,1.03848,0.000181703,0.000181703,0.000181703
47,3417.48,1.11571,0.48442,1.03662,0.94542,0.93079,0.96555,0.68085,1.07168,0.45214,1.03698,0.000148696,0.000148696,0.000148696
48,3470.26,1.1072,0.47959,1.03465,0.94203,0.934,0.96526,0.67863,1.07038,0.45206,1.03644,0.00011569,0.00011569,0.00011569
49,3522.98,1.09958,0.46964,1.0311,0.94383,0.93474,0.96535,0.6828,1.06784,0.4477,1.03432,8.26832e-05,8.26832e-05,8.26832e-05
50,3575.49,1.1002,0.46817,1.03191,0.94612,0.932,0.96626,0.68418,1.06291,0.44432,1.03296,4.96766e-05,4.96766e-05,4.96766e-05
